"","item_label","questionnaire","trait_number","trait_letter","pos_neg","triplet","pos"
"348","sd3.06.3","SD",3,"p",1,6,3
"349","sd1.07.1","SD",1,"m",1,7,1
"350","sd3.07.2","SD",3,"p",1,7,2
"351","sd2.07.3","SD",2,"n",-1,7,3
"352","sd3.08.1","SD",3,"p",1,8,1
"353","sd2.08.2","SD",2,"n",1,8,2
"354","sd1.08.3","SD",1,"m",1,8,3
"355","sd3.09.1","SD",3,"p",-1,9,1
"356","sd1.09.2","SD",1,"m",1,9,2
"357","sd2.09.3","SD",2,"n",1,9,3
